"CG9804",4.98174,4.79796,6.41838,0.0100423,11.976,9.48865,7.30382,7.99247,14.5238,4.25839,7.07754,2.02216,13.3171,12.5126,12.8493,7.20226,13.4004,8.98809,9.52335,7.11393,15.0255,11.3839,12.1423,14.6047
"CG14650",26.706,28.3887,25.8553,28.3944,31.403,25.94,20.3938,20.4456,29.7779,24.4311,26.8644,27.5725,31.2159,31.7701,28.4458,29.2813,28.5589,27.7303,28.2636,27.1458,30.6981,27.2948,25.569,30.2988
"CG31522",107.121,78.722,72.3971,86.7654,65.4263,93.3972,82.5761,79.6426,62.3956,62.1819,83.6079,79.8139,54.5279,30.1947,46.8182,56.472,40.7617,57.233,59.1225,52.0264,37.3425,41.1059,29.1778,49.5133
"CG31523",190.39,139.204,98.4949,146.573,46.1465,148.467,187.052,187.285,160.188,123.473,124.364,80.4574,88.7503,19.7785,45.2395,54.5307,47.0544,98.5435,88.4302,66.607,33.6952,53.795,10.6395,76.7586
"CG14651",0.0637718,0,0,0,0.112219,0,0,0.0611308,0.0576683,0,0,0.0587443,0.0536781,0,0.110268,0,0.263701,0,0.0548521,0.0567035,0,0.108159,0.156853,0
"Fip1",6.05256,7.32908,7.27539,9.79027,12.0813,6.85849,7.54405,5.88849,10.4564,8.29641,8.83801,11.1508,9.50479,10.2412,9.76258,9.56453,7.17212,8.0486,10.1789,11.3257,9.7376,11.8741,12.0724,9.22463
"CG34357",0.00732071,7.06212,1.28531,0.238695,8.22126,1.76785,0,2.51475,9.96032,2.96576,0.358756,1.60323e-09,12.7937,12.9829,11.4128,13.45,10.7307,11.785,12.2579,11.3111,8.37153,10.2699,13.1448,10.4051
"CG34425",0,0.119843,0,0.124839,0.110473,0,0,0,0.113542,0,0,0,0,0,0,0,0,0,0.107997,0.111642,0,0,0,0
"Mur82C",0,0,0.119654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG32945",0,0,0,0,0.287229,0,0,0,0,0.31559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-HT2A",3.42435,2.20706,5.90358,4.98359,11.2806,5.46265,4.29467,2.89557,17.9302,5.26794,10.8042,1.86256,9.87752,23.5185,17.5309,19.8692,14.9464,9.36341,18.1441,12.6393,5.91185,12.4576,17.3989,9.60486
"CG9775",79.3385,74.5167,70.0049,72.965,76.7455,67.76,64.308,52.1672,66.6255,64.338,65.3619,58.2906,69.1257,61.9493,64.8194,63.1908,58.9137,61.3479,66.5846,59.9192,55.7865,57.3112,53.1639,62.0711
"slx1",2.55492,2.06344,2.66978,2.54027,2.9396,1.69986,2.05156,3.01429,2.48811,2.65989,1.13103,4.16388,2.31595,3.68665,3.05841,4.02738,2.43802,4.33584,4.39512,2.62123,2.7703,4.16657,2.73921,4.72204
"MED31",19.3964,17.7531,23.0046,0.00318955,26.9946,11.253,12.3066,0.119677,9.58089,22.679,0.000210998,22.7276,1.64254,1.26421e-06,10.4676,30.1392,32.3625,1.60757,8.41295,0,0.235997,0.000170374,30.1696,37.2068
"Dlip2",42.665,45.7533,40.6681,47.4111,39.0843,45.585,37.4636,36.3271,37.4468,45.6124,40.9225,33.2907,40.137,30.908,35.8012,38.7864,39.4356,35.5636,36.4816,37.0435,30.5903,45.9707,37.2429,42.4255
"rpk",0,0,0,0,0,0,0,0,0.0783692,0.0837639,0,0,0,0.706784,0,0,0.0716705,0,0.149058,0,0.143702,0,0,0
"Karybeta3",184.248,200.392,164.429,171.367,234.042,168.769,131.766,119.563,168.578,157.521,180.542,222.502,237.09,241.875,217.322,218.251,205.705,202.676,192.37,207.277,240.672,281.926,247.807,216.366
"spartin",4.8177,1.14218,2.57184,5.37224,14.2283,1.16142,3.49085,1.74875,15.3998,9.0399,0,14.0904,12.9629,9.28392,19.3932,11.7189,16.8589,8.86487,17.2473,10.5421,24.3051,14.2748,24.9942,22.1868
"CG43427",38.4327,25.1169,20.3625,28.5144,14.6488,31.3457,35.8597,21.867,23.4546,25.0921,27.9838,18.1588,7.51239,4.2902,17.0307,19.2693,17.0241,15.8743,9.86451,20.6625,9.05073,13.0132,0.00158858,27.771
"CG33927",0.858743,0,0.833254,0.426911,0,0.412639,1.79285,1.23477,0.388277,0,0,0.395522,0,0,0,0.733231,1.42038,0.364334,0.369315,0.381781,0,0.728229,0,0
"eIF3f1",69.9642,92.5768,77.0167,72.9648,110.322,69.7037,45.8919,72.15,74.5603,93.5991,84.0064,129.842,144.706,175.092,130.292,124.005,143.734,123.088,111.234,121.833,144.109,159.134,164.089,126.678
"Nep2",15.4478,0.00112829,9.32333,25.2462,16.7648,19.7336,16.3059,9.9591,27.8064,21.7124,15.5698,21.753,27.4541,16.0329,32.4491,25.4687,19.2145,28.2889,28.1439,24.3021,19.334,26.7869,14.0981,21.3841
"tacc",57.8624,87.3399,65.3839,0.740318,73.2756,22.0648,0.0224143,1.56865,87.7092,25.7193,55.3913,27.4312,75.0668,64.7476,21.856,81.3881,57.0423,83.9331,45.3264,24.0993,87.3583,58.3243,65.5589,74.0865
"atms",13.5846,14.3819,15.9547,14.8715,19.9469,15.4462,14.3304,14.5377,13.5753,13.6286,17.0255,22.9223,14.8318,19.8602,13.7602,16.6969,21.6134,14.3027,18.3883,22.9675,10.8338,7.11718,7.56132,20.2903
"CG44098",0,5.61611,1.0421e-07,2.70695,0.288531,5.56034,5.60046,3.32482,5.76941,3.64518,3.90181,7.57447,1.74377,6.60182,5.07796,1.96255,3.66267,8.65551,5.41859,7.22081,2.59155,2.39052,7.29191,1.04395e-07
"CG44088",8.34232,2.93358,5.11245,4.80209,3.09051,5.06351,3.66668,5.05063,6.74979,3.82013,9.26502,3.6401,2.58702,4.2972,5.69397,5.62345,5.08363,5.21589,3.02126,3.12323,2.91251,4.84041,2.15987,3.39089
